"","Productivity","Performance","IT"
"1",0.456,0.2583,"1"
"2",0.3189,0.336,"1"
"3",0.3543,0.2891,"1"
"4",0.3314,0.3291,"1"
"5",0.3166,0.3234,"1"
"6",0.3417,0.3383,"1"
"7",0.2869,0.288,"1"
"8",0.3303,0.3463,"0"
"9",0.4103,0.0171,"1"
"10",0.3977,0.424,"1"
"11",0.3829,0.3783,"0"
"12",0.4229,0.44,"1"
"13",0.3829,0.3817,"0"
"14",0.5886,0.0206,"0"
"15",0.5554,0.464,"0"
"16",0.6686,0.0309,"0"
"17",0.6331,0.68,"1"
"18",0.5897,0.6297,"1"
"19",0.5863,0.648,"1"
"20",0.6069,0.488,"0"
"21",0.5954,0.6423,"1"
"22",0.616,0.6011,"1"
"23",0.7109,0.72,"1"
"24",0.6606,0.0331,"1"
"25",0.5954,0.2423,"0"
"26",0.6811,0.7131,"0"
"27",0.3543,0.4263,"1"
"28",0.6663,0.6503,"1"
"29",0.5509,0.6011,"1"
"30",0.584,0.6,"1"
"31",0.5211,0.4331,"0"
"32",0.5989,0.6709,"1"
"33",0.5771,0.0274,"0"
"34",0.6103,0.64,"1"
"35",0.5646,0.2914,"1"
"36",0.6274,0.624,"1"
"37",0.6137,0.6046,"1"
"38",0.5074,0.4663,"0"
"39",0.5874,0.5589,"1"
"40",0.5909,0.1211,"0"
"41",0.4926,0.0274,"0"
"42",0.352,0.0709,"0"
"43",0.2754,0.1703,"0"
"44",0.3566,0.1566,"1"
"45",0.4343,0.2754,"1"
"46",0.3463,0.3086,"1"
"47",0.2857,0.1886,"1"
"48",0.3246,0.2686,"0"
"49",0.3006,0.0114,"1"
"50",0.3851,0.3931,"1"
"51",0.3646,0.3886,"1"
"52",0.3863,0.4023,"0"
"53",0.3749,0.3977,"1"
"54",0.4366,0.4594,"1"
"55",0.3646,0.3806,"1"
"56",0.3657,0.0137,"1"
"57",0.3394,0.2149,"1"
"58",0.3897,0,"1"
"59",0.4034,0.1566,"1"
"60",0.3863,0.3429,"0"
"61",0.3074,0.3429,"0"
"62",0.4069,0.2491,"0"
"63",0.4,0.4229,"1"
"64",0.36,0.4091,"1"
"65",0.3806,0.4034,"1"
"66",0.4194,0.4549,"0"
"67",0.4114,0.0149,"1"
"68",0.3703,0.1269,"1"
"69",0.3269,0.0789,"1"
"70",0.3977,0.4057,"0"
"71",0.4046,0.4309,"1"
"72",0.4503,0.4697,"1"
"73",0.3349,0.3806,"0"
"74",0.3497,0.3817,"1"
"75",0.3531,0.3909,"0"
"76",0.3954,0.424,"1"
"77",0.32,0.3269,"0"
"78",0.5897,0.0286,"1"
"79",0.5829,0.696,"1"
"80",0.6126,0.624,"0"
"81",0.528,0.5566,"1"
"82",0.6389,0.0274,"1"
"83",0.6766,0.6651,"1"
"84",0.3097,0.3669,"1"
"85",0.5497,0.4834,"0"
"86",0.5234,0.5474,"1"
"87",0.6046,0.6537,"0"
"88",0.5554,0.456,"1"
"89",0.5863,0.0229,"0"
"90",0.6331,0.7097,"1"
"91",0.592,0.6229,"1"
"92",0.4994,0.5131,"1"
"93",0.4389,0.4069,"1"
